,cricinfo_id,name,short_name,full_name
0,1289558,Laxmi Yadav,LK Yadav,Laxmi Kundan Yadav
1,1289983,Kiran Navgire,KP Navgire,Kiran Prabhu Navgire
2,276997,Shabnim Ismail,S Ismail,Shabnim Ismail
3,329336,Meg Lanning,MM Lanning,Meghann Moira Lanning
4,878039,Sophie Ecclestone,S Ecclestone,Sophie Ecclestone
5,474308,Hayley Matthews,HK Matthews,Hayley Kristen Matthews
6,515905,Nat Sciver-Brunt,Nat Sciver-Brunt,Natalie Ruth Sciver-Brunt
7,275486,Alyssa Healy,AJ Healy,Alyssa Jean Healy
8,1255541,Simran Shaikh,Simran Shaikh,Simran Banu Shaikh
9,1346678,Parshavi Chopra,PG Chopra,Parshavi Gaurav Chopra
10,1255442,Shweta Sehrawat,S Sehrawat,Shweta Sehrawat
11,1255485,Soppadhandi Yashasri,SV Yashasri,Soppadhandi Venugopal Yashasri
12,878025,Lauren Bell,LK Bell,Lauren Katie Bell
13,1146066,Issy Wong,IECM Wong,Isabelle Eleanor Chih Ming Wong
14,709635,Rajeshwari Gayakwad,RS Gayakwad,Rajeshwari Shivanand Gayakwad
15,960993,Shivali Shinde,SS Shinde,Shivali Shrikant Shinde
16,381311,Tahlia McGrath,TM McGrath,Tahlia May McGrath
17,597811,Deepti Sharma,DB Sharma,Deepti Bhagwan Sharma
18,709837,Devika Vaidya,DP Vaidya,Devika Purnendu Vaidya
19,381268,Grace Harris,GM Harris,Grace Margaret Harris
20,960673,Anjali Sarvani,K Anjali Sarvani,Kesavarajugari Anjali Sarvani
21,597806,Smriti Mandhana,S Mandhana,Smriti Shriniwas Mandhana
22,358259,Heather Knight,HC Knight,Heather Clare Knight
23,709843,Preeti Bose,Preeti Bose,Preeti Bose
24,961195,Komal Zanzad,KR Zanzad,Komal Ravindra Zanzad
25,231740,Sophie Devine,SFM Devine,Sophie Frances Monique Devine
26,960931,Sahana Pawar,SS Pawar,Sahana Shamsunder Pawar
27,275447,Erin Burns,EA Burns,Erin Alexandra Burns
28,550687,Sobhana Asha,S Asha,Sobhana Asha
29,1212830,Richa Ghosh,RM Ghosh,Richa Manabendra Ghosh
30,1289948,Shreyanka Patil,SR Patil,Shreyanka Rajesh Patil
31,1289979,Poonam Khemnar,PN Khemnar,Poonam Nanasaheb Khemnar
32,364413,Dane van Niekerk,D van Niekerk,Dane van Niekerk
33,275487,Ellyse Perry,EA Perry,Ellyse Alexandra Perry
34,961183,Disha Kasat,DD Kasat,Disha Deepak Kasat
35,420314,Megan Schutt,M Schutt,Megan Schutt
36,960853,Renuka Singh,Renuka Singh,Renuka Singh Thakur
37,1255560,Kanika Ahuja,KS Ahuja,Kanika S Ahuja
38,1255494,Indrani Roy,IT Roy,Indrani Tarun Roy
39,974175,Fazalhaq Farooqi,Fazalhaq Farooqi,Fazalhaq Farooqi
40,712219,Zahir Khan,Zahir Khan,Zahir Khan  Pakteen
41,784379,Wanindu Hasaranga,PWH de Silva,Pinnaduwage Wanindu Hasaranga de Silva
42,40618,Imran Tahir,Imran Tahir,Mohammad Imran Tahir
43,296597,James Vince,JM Vince,James Michael Vince
44,524049,Najibullah Zadran,Najibullah Zadran,Najibullah Zadran
45,464626,Craig Overton,C Overton,Craig Overton
46,1036191,Bas de Leede,BFW de Leede,Bas de Leede
47,1099224,Will Smeed,WCF Smeed,William Conrad Francis Smeed
48,902907,Tom Lammonby,TA Lammonby,Thomas Alexander Lammonby
49,288992,Chris Jordan,CJ Jordan,Christopher James Jordan
50,51439,Dwayne Bravo,DJ Bravo,Dwayne John Bravo
51,807535,Brad Wheal,BTJ Wheal,Bradley Thomas James Wheal
52,928057,Lorcan Tucker,LJ Tucker,Lorcan John Tucker
53,230559,Kieron Pollard,KA Pollard,Kieron Adrian Pollard
54,51862,Andre Fletcher,ADS Fletcher,Andre David Stephon Fletcher
55,277912,Trent Boult,TA Boult,Trent Alexander Boult
56,249866,Alex Hales,AD Hales,Alexander Daniel Hales
57,1178586,Vriitya Aravind,V Aravind,Vriitya Aravind
58,1209110,Basil Hameed,Basil Hameed,Basil Hameed
59,1172968,Dan Mousley,DR Mousley,Daniel Richard Mousley
60,221140,David Wiese,D Wiese,David Wiese
61,1241277,Muhammad Waseem,Muhammad Waseem,Muhammad Waseem
62,384525,Zahoor Khan,Zahoor Khan,Zahoor Khan
63,766809,Jordan Thompson,JA Thompson,Jordan Aaron Thompson
64,604302,Nicholas Pooran,N Pooran,Nicholas Pooran
65,18632,Samit Patel,SR Patel,Samit Rohit Patel
66,1275937,McKenny Clarke,M Clarke,McKenny Clarke
67,436757,Heinrich Klaasen,H Klaasen,Heinrich Klaasen
68,326635,Cameron Gannon,CJ Gannon,Cameron John Gannon
69,459508,Andrew Tye,AJ Tye,Andrew James Tye
70,379143,Quinton de Kock,Q de Kock,Quinton de Kock
71,914171,Qais Ahmad,Qais Ahmad,Qais Ahmad Kamawal
72,1079860,Tajinder Singh,Tajinder Singh,Tajinder Singh Dhillon
73,325012,Marcus Stoinis,MP Stoinis,Marcus Peter Stoinis
74,5334,Aaron Finch,AJ Finch,Aaron James Finch
75,959759,Finn Allen,FH Allen,Finnley Hugh Allen
76,429748,Amila Aponso,MA Aponso,Malmeege Amila Aponso
77,1277627,Sanjay Krishnamurthi,SP Krishnamurthi,Sanjay Prasad Krishnamurthi
78,440894,Carmi le Roux,C le Roux,Carmi le Roux
79,628217,Chaitanya Bishnoi,C Bishnoi,Chaitanya Bishnoi
80,1219972,Brody Couch,BL Couch,Brody L Couch
81,1161606,Haris Rauf,Haris Rauf,Haris Rauf
82,322812,David White,DJ White,David John White
83,1076382,Mackenzie Harvey,MW Harvey,Mackenzie Walter Harvey
84,922943,Shadab Khan,Shadab Khan,Shadab Khan
85,542023,Lungi Ngidi,L Ngidi,Lungisani True-man Ngidi
86,532853,Smit Patel,SK Patel,Smit Kamleshbhai Patel
87,277662,Corey Anderson,CJ Anderson,Corey James Anderson
88,230193,Matthew Wade,MS Wade,Matthew Scott Wade
89,19264,Liam Plunkett,LE Plunkett,Liam Edward Plunkett
90,883405,Jemimah Rodrigues,JI Rodrigues,Jemimah Ivan Rodrigues
91,960737,Radha Yadav,RP Yadav,Radha Prakash Yadav
92,1182523,Shafali Verma,Shafali Verma,Shafali Verma
93,961035,Jasia Akhtar,Jasia Akhtar,Jasia Akhtar
94,872217,Tara Norris,TG Norris,Tara G Norris
95,630972,Poonam Yadav,Poonam Yadav,Poonam Yadav
96,960745,Aparna Mondal,AD Mondal,Aparna Dilipkumar Mondal
97,442145,Shikha Pandey,S Pandey,Shikha Subas Pandey
98,960867,Arundhati Reddy,A Reddy,Arundhati Reddy
99,1187120,Alice Capsey,A Capsey,Alice Capsey
100,883423,Taniya Bhatia,T Bhatia,Taniya Bhatia
101,1255407,Titas Sadhu,TR Sadhu,Titas Ranadeep Sadhu
102,951163,Laura Harris,L Harris,Laura Harris
103,627072,Sneha Deepthi,V Sneha Deepthi,Vootala Sneha Deepthi
104,960949,Minnu Mani,M Mani,Minnu Mani
105,351836,Marizanne Kapp,M Kapp,Marizanne Kapp
106,374936,Jess Jonassen,JL Jonassen,Jessica Louise Jonassen
107,596010,Gerald Coetzee,G Coetzee,Gerald Coetzee
108,44828,Faf du Plessis,F du Plessis,Francois du Plessis
109,223642,Rusty Theron,J Theron,Juan Theron
110,1160390,Zia Shahzad,Zia Shahzad,Zia Mohammad Shahzad
111,321777,David Miller,DA Miller,David Andrew Miller
112,450881,Calvin Savage,CP Savage,Calvin Peter Savage
113,547079,Sami Aslam,Sami Aslam,Sami Aslam
114,379140,Devon Conway,DP Conway,Devon Philip Conway
115,953793,Cameron Stevenson,CAH Stevenson,Cameron Aaron Henry Stevenson
116,290739,Zia-ul-Haq,Zia-ul-Haq,Zia-ul-Haq
117,451947,Milind Kumar,Milind Kumar,Milind Kumar
118,826901,Daniel Sams,DR Sams,Daniel Richard Sams
119,935881,Mohammad Mohsin,Mohammad Mohsin,Mohammad Mohsin
120,1193310,Saiteja Mukkamalla,SR Mukkamalla,Saiteja Reddy Mukkamalla
121,322815,Cody Chetty,C Chetty,Cody Chetty
122,502714,Mitchell Santner,MJ Santner,Mitchell Josef Santner
123,699483,Lahiru Milantha,BKEL Milantha,Bamunugama Koralalage Eshan Lahiru Milantha
124,927119,Ali Khan,Ali Khan,Muhammad Ahsan Ali Khan
125,230551,Gajanand Singh,G Singh,Gajanand Singh
126,226492,Martin Guptill,MJ Guptill,Martin James Guptill
127,446499,Unmukt Chand,UBT Chand,Unmukt Bharat Thakur Chand
128,230558,Sunil Narine,SP Narine,Sunil Philip Narine
129,298438,Jason Roy,JJ Roy,Jason Jonathan Roy
130,318845,Rilee Rossouw,RR Rossouw,Rilee Roscoe Rossouw
131,1193309,Ali Sheikh,Ali Sheikh,Ali Sheikh
132,348129,Nitish Kumar,NR Kumar,Nitish Roenick Kumar
133,493773,Lockie Ferguson,LH Ferguson,Lachlan Hammond Ferguson
134,1078699,Bhaskar Yadram,B Yadram,Bhaskar Yadram
135,429927,Corné Dry,CA Dry,Corné Adrian Dry
136,379504,Adam Zampa,A Zampa,Adam Zampa
137,276298,Andre Russell,AD Russell,Andre Dwayne Russell
138,334621,Shadley van Schalkwyk,SC van Schalkwyk,Shadley Claude van Schalkwyk
139,430105,Jaskaran Malhotra,JS Malhotra,Jaskaran Singh Malhotra
140,922967,Saif Badar,Saif Badar,Saif Badar
141,1123718,Spencer Johnson,SH Johnson,Spencer Henry Johnson
142,534734,Chirag Suri,Chirag Suri,Chirag Suri
143,820351,Rovman Powell,R Powell,Rovman Powell
144,10582,Ravi Bopara,RS Bopara,Ravinder Singh Bopara
145,35582,Robin Uthappa,RV Uthappa,Robin Venu Uthappa
146,670013,Fabian Allen,FA Allen,Fabian Anthony Allen
147,429754,Niroshan Dickwella,N Dickwella,Dickwella Patabendige Dilantha Niroshan Dickwella
148,641423,Dan Lawrence,DW Lawrence,Daniel William Lawrence
149,623695,Chamika Karunaratne,C Karunaratne,Chamika Karunaratne
150,1294146,Jash Giyanani,J Giyanani,Jash Giyanani
151,1241269,Hazrat Luqman,Hazrat Luqman,Hazrat Luqman
152,437316,Dasun Shanaka,MD Shanaka,Madagamagamage Dasun Shanaka
153,1104703,Fred Klaassen,FJ Klaassen,Frederick Jack Klaassen
154,671805,George Munsey,HG Munsey,Henry George Munsey
155,342619,Bhanuka Rajapaksa,PBB Rajapaksa,Pramod Bhanuka Bandara Rajapaksa
156,793457,Hazratullah Zazai,Hazratullah Zazai,Hazratullah Zazai
157,32498,Yusuf Pathan,YK Pathan,Yusuf Khan Pathan
158,1193529,Ollie White,OJ White,Oliver Jack White
159,303669,Joe Root,JE Root,Joseph Edward Root
160,299572,Sikandar Raza,Sikandar Raza,Sikandar Raza Butt
161,974109,Mujeeb Ur Rahman,Mujeeb Ur Rahman,Mujeeb Ur Rahman
162,681067,Akif Raja,Akif Raja,Raja Akifullah Khan
163,328026,Isuru Udana,I Udana,Isuru Udana Tillakaratna
164,379926,Dane Piedt,DL Piedt,Dane Leeroy Piedt
165,450860,Adam Milne,AF Milne,Adam Fraser Milne
166,481979,Anrich Nortje,A Nortje,Anrich Arno Nortje
167,1124282,Josh Philippe,JR Philippe,Joshua Ryan Philippe
168,556916,Mukhtar Ahmed,Mukhtar Ahmed,Mukhtar Ahmed
169,696401,Marco Jansen,M Jansen,Marco Jansen
170,772469,Usman Rafiq,Usman Rafiq,Usman Rafiq
171,485379,Andries Gous,AGS Gous,Andries Gustav Stephanus Gous
172,1155264,Sujith Gowda,SN Gowda,Sujith N Gowda
173,530812,Akeal Hosein,AJ Hosein,Akeal Jerome Hosein
174,5961,Moises Henriques,MC Henriques,Moises Constantino Henriques
175,328160,Obus Pienaar,AJ Pienaar,Abraham Jacobus Pienaar
176,823509,Glenn Phillips,GD Phillips,Glenn Dominic Phillips
177,1252355,Akhilesh Reddy,B Akhilesh Reddy,Bodugum Akhilesh Reddy
178,1170471,Tanveer Sangha,T Sangha,Tanveer Sangha
179,448249,Saad Ali,Saad Ali,Saad Ali
180,679567,Ben Dwarshuis,BJ Dwarshuis,Benjamin James Dwarshuis
181,398513,Saurabh Netravalkar,SN Netravalkar,Saurabh Naresh Netravalkar
182,594293,Justin Dill,JG Dill,Justin Greef Dill
183,1255387,Jintimani Kalita,JN Kalita,Jintimani Nakul Kalita
184,1289956,Sonam Yadav,SM Yadav,Sonam Mukesh Yadav
185,453370,Chloe Tryon,CL Tryon,Chloe-Lesleigh  Tryon
186,961005,Humaira Kazi,HY Kazi,Humaira Yusufamir Kazi
187,803971,Amelia Kerr,AC Kerr,Amelia Charlotte Kerr
188,372317,Harmanpreet Kaur,H Kaur,Harmanpreet Kaur Bhullar
189,546629,Heather Graham,H Graham,Heather Graham
190,1255408,Dhara Gujjar,DV Gujjar,Dhara Vijay Gujjar
191,883413,Pooja Vastrakar,P Vastrakar,Pooja Vastrakar
192,961029,Neelam Bisht,N Bisht,Neelam Bisht
193,960715,Yastika Bhatia,YH Bhatia,Yastika Harish Bhatia
194,597815,Saika Ishaque,S Ishaque,Saika Ishaque
195,1255564,Priyanka Bala,PP Bala,Priyanka Prankrishna Bala
196,1255411,Amanjot Kaur,AB Kaur,Amanjot Bhupinder Kaur
197,1241201,Matiullah Khan,Matiullah Khan,Matiullah Khan
198,784375,Lahiru Kumara,CBRLS Kumara,Chandradasa Brahammana Ralalage Lahiru Sudesh Kumara
199,303427,Paul Stirling,PR Stirling,Paul Robert Stirling
200,670035,Brandon King,BA King,Brandon Alexander King
201,784367,Charith Asalanka,KIC Asalanka,Kariyawasam Indipalage Charith Asalanka
202,52912,Ravi Rampaul,R Rampaul,Ravindranath Rampaul
203,465793,Dhananjaya de Silva,DM de Silva,Dhananjaya Maduranga de Silva
204,45705,Colin Ingram,CA Ingram,Colin Alexander Ingram
205,1328438,Sabir Ali,Sabir Ali,Sabir Ali
206,1282477,Treveen Mathew,T Mathew,Traveen Sashenka Mathew
207,537319,Kennar Lewis,K Lewis,Kennar Lewis
208,1196500,Zawar Farid,Zawar Farid,Zawar Farid
209,393279,Marchant de Lange,M de Lange,Marchant de Lange
210,595419,Brandon Glover,BD Glover,Brandon Dale Glover
211,1070997,Connor Esterhuizen,C Esterhuizen,Connor Esterhuizen
212,1126002,Fahad Nawaz,Fahad Nawaz,Fahad Nawaz
213,450101,Raymon Reifer,RA Reifer,Raymon Anton Reifer
214,960845,Harleen Deol,H Deol,Harleen Deol
215,885815,Sophia Dunkley,SIR Dunkley,Sophia Ivy Rose Dunkley
216,1289680,Hurley Gala,HT Gala,Hurley Tanmay Gala
217,1213438,Monica Patel,MC Patel,Monica Chhelaram Patel
218,597821,Sushma Verma,S Verma,Sushma Verma Devi
219,960815,Mansi Joshi,M Joshi,Mansi Joshi
220,946057,Georgia Wareham,G Wareham,Georgia Wareham
221,922481,Laura Wolvaardt,L Wolvaardt,Laura Wolvaardt
222,381258,Beth Mooney,BL Mooney,Bethany Louise Mooney
223,355349,Deandra Dottin,DJS Dottin,Deandra Jalisa Shakira Dottin
224,1346683,Shabnam MD,Shabnam MD,Shabnam Md Shakil
225,961107,Dayalan Hemalatha,D Hemalatha,Dayalan Hemalatha
226,1345792,Ashwani Kumari,Ashwani Kumari,Ashwani Kumari
227,1071705,Annabel Sutherland,A Sutherland,Annabel Sutherland
228,960847,Tanuja Kanwar,TP Kanwar,Tanuja P Kanwar
229,556529,Sabbhineni Meghana,S Meghana,Sabbhineni Meghana
230,1289559,Parunika Sisodia,PS Sisodia,Parunika Sudhir Sisodia
231,556537,Sneh Rana,S Rana,Sneh Rana
232,858809,Ashleigh Gardner,A Gardner,Ashleigh Katherine Gardner
233,418423,Kim Garth,KJ Garth,Kimberley Jennifer Garth
234,793447,Naveen-ul-Haq,Naveen-ul-Haq,Naveen-ul-Haq Murid
235,974087,Rahmanullah Gurbaz,Rahmanullah Gurbaz,Rahmanullah Gurbaz
236,25913,Mohammad Nabi,Mohammad Nabi,Mohammad Nabi
237,236489,Dawid Malan,DJ Malan,Dawid Johannes Malan
238,1149157,Chris Benjamin,CG Benjamin,Christopher Gavin Benjamin
239,1058987,Karthik Meiyappan,KP Meiyappan,Karthik Palaniapan Meiyappan
240,431901,Evin Lewis,E Lewis,Evin Lewis
241,848623,Mark Deyal,M Deyal,Mark Deyal
242,1353031,Jamal Todd,Jamal Todd,Jamal Todd
243,1203754,Junaid Siddique,Junaid Siddique,Muhammad Junaid Siddique
244,12454,Joe Denly,JL Denly,Joseph Liam Denly
245,1161038,Alishan Sharafu,A Sharafu,Alishan Sharafu
246,8917,Moeen Ali,MM Ali,Moeen Munir Ali
247,909225,Paul Walter,PI Walter,Paul Ian Walter
248,1353033,Muhammad Jawadullah,Muhammad Jawadullah,Muhammad Jawadullah
249,1182529,Noor Ahmad,Noor Ahmad,Noor Ahmad Lakanwal
250,470633,Tom Kohler-Cadmore,T Kohler-Cadmore,Tom Kohler-Cadmore
251,247235,Chris Woakes,CR Woakes,Christopher Roger Woakes
252,317995,Bilal Khan,Bilal Khan,Bilal Khan
253,326637,Chris Lynn,CA Lynn,Christopher Austin Lynn
254,906749,Dominic Drakes,DC Drakes,Dominic Conneil Drakes
255,510530,Jamie Overton,J Overton,Jamie Overton
256,877051,Tom Banton,T Banton,Tom Banton
257,519070,Gerhard Erasmus,MG Erasmus,Merwe Gerhard Erasmus
258,1241265,Aayan Afzal Khan,Aayan Afzal Khan,Aayan Afzal Khan
259,887207,Ollie Pope,OJ Pope,Oliver John Douglas Pope
260,474760,Chundangapoyil Rizwan,CP Rizwan,Chundangapoyil Puthiyapurayil Rizwan
261,473191,Richard Gleeson,RJ Gleeson,Richard James Gleeson
262,211855,Liam Dawson,LA Dawson,Liam Andrew Dawson
263,670025,Shimron Hetmyer,SO Hetmyer,Shimron Odilon Hetmyer
264,1263691,Rehan Ahmed,Rehan Ahmed,Rehan Ahmed
265,512907,Tom Helm,TG Helm,Thomas George Helm
266,457249,Carlos Brathwaite,CR Brathwaite,Carlos Ricardo Brathwaite
267,1199669,Ashwanth Valthapa,AC Valthapa,Ashwanth  Chidambaram Valthapa
268,1199670,Sanchit Sharma,SM Sharma,Sanchit Mohan Sharma
