record_date,player_name,raw_peak_roll,raw_peak_yaw
2024-02-19,Amanjot Kaur,995.52002,1198.2840576171875
2024-02-19,Amanjot Kaur,956.297,1235.31103515625
2024-02-19,Amanjot Kaur,1155.09607,1226.343994140625
2024-02-19,Amanjot Kaur,1178.39807,1186.2060546875
2024-02-19,Amanjot Kaur,1156.37695,1123.43701171875
2024-02-19,Amanjot Kaur,1219.87805,1169.0040283203125
2024-02-19,Amanjot Kaur,1002.35199,1563.06396484375
2024-02-19,Amanjot Kaur,1215.42505,1351.760009765625
2024-02-19,Amanjot Kaur,1225.36804,1225.1240234375
2024-02-19,Amanjot Kaur,1095.13306,1304.72900390625
2024-02-19,Amanjot Kaur,1223.84302,1417.2130126953125
2024-02-19,Amanjot Kaur,1191.81799,1240.0689697265625
2024-02-19,Amanjot Kaur,1113.49402,1240.1910400390625
2024-02-19,Amanjot Kaur,1246.35205,1382.1380615234375
2024-02-19,Amanjot Kaur,1206.94604,1181.08203125
2024-02-19,Amanjot Kaur,1214.44897,1263.98095703125
2024-02-19,Amanjot Kaur,1279.84106,1222.4400634765625
2024-02-19,Amanjot Kaur,1196.45398,1323.2730712890625
2024-02-19,Amanjot Kaur,944.21899,1295.1519775390625
2024-02-19,Amanjot Kaur,1207.37305,1120.81396484375
2024-02-19,Amanjot Kaur,1128.37805,1368.779052734375
2024-02-19,Amanjot Kaur,1131.672,1201.2730712890625
2024-02-19,Amanjot Kaur,1275.20496,1253.1839599609375
2024-02-19,Amanjot Kaur,1236.04297,1342.7320556640625
2024-02-19,Amanjot Kaur,1232.20007,1322.2969970703125
2024-02-22,Amanjot Kaur,1167.35706,1853.9119873046875
2024-02-22,Amanjot Kaur,1105.32007,1493.0360107421875
2024-02-22,Amanjot Kaur,1152.53406,1924.85498046875
2024-02-22,Amanjot Kaur,1078.35803,1712.9410400390625
2024-02-22,Amanjot Kaur,1068.41504,1896.06298828125
2024-02-22,Amanjot Kaur,1204.20105,1993.6629638671875
2024-02-22,Amanjot Kaur,1150.521,1974.447998046875
2024-02-22,Amanjot Kaur,1272.09399,1941.81298828125
2024-02-22,Amanjot Kaur,1230.30896,1977.010009765625
2024-02-22,Amanjot Kaur,1167.35706,1853.9119873046875
2024-02-22,Amanjot Kaur,1105.32007,1493.0360107421875
2024-02-22,Amanjot Kaur,1152.53406,1924.85498046875
2024-02-22,Amanjot Kaur,1078.35803,1712.9410400390625
2024-02-22,Amanjot Kaur,1068.41504,1896.06298828125
2024-02-22,Amanjot Kaur,1204.20105,1993.6629638671875
2024-02-22,Amanjot Kaur,1150.521,1974.447998046875
2024-02-22,Amanjot Kaur,1272.09399,1941.81298828125
2024-02-22,Amanjot Kaur,1230.30896,1977.010009765625
2024-02-25,Amanjot Kaur,904.38599,1393.60595703125
2024-02-27,Amanjot Kaur,878.40002,1973.4110107421875
2024-02-27,Amanjot Kaur,1060.85095,1581.9129638671875
2024-02-19,Pooja Vastrakar,917.37903,1189.927001953125
2024-02-19,Pooja Vastrakar,1026.44702,1317.966064453125
2024-02-19,Pooja Vastrakar,1043.52698,1168.1500244140625
2024-02-19,Pooja Vastrakar,1046.76001,1925.8310546875
2024-02-19,Pooja Vastrakar,1183.33899,1996.89599609375
2024-02-19,Pooja Vastrakar,1220.91504,1988.47802734375
2024-02-19,Pooja Vastrakar,918.47699,1562.27099609375
2024-02-19,Pooja Vastrakar,1019.91998,1524.572998046875
2024-02-19,Pooja Vastrakar,1041.453,1015.3450317382812
2024-02-19,Pooja Vastrakar,1168.02795,1711.416015625
2024-02-19,Pooja Vastrakar,973.43799,1705.6209716796875
2024-02-19,Pooja Vastrakar,1062.37598,1895.5140380859375
2024-02-19,Pooja Vastrakar,1111.42004,1844.1519775390625
2024-02-19,Pooja Vastrakar,1016.07703,1720.260986328125
2024-02-19,Pooja Vastrakar,1169.18701,1974.9970703125
2024-02-19,Pooja Vastrakar,1004.73102,1592.0390625
2024-02-19,Pooja Vastrakar,978.745,1603.6900634765625
2024-02-19,Pooja Vastrakar,771.77203,1413.4920654296875
2024-02-19,Pooja Vastrakar,1088.60596,1994.6390380859375
2024-02-19,Pooja Vastrakar,1155.52307,1940.654052734375
2024-02-19,Pooja Vastrakar,1078.78503,1580.8150634765625
2024-02-19,Pooja Vastrakar,1074.02698,1774.4290771484375
2024-02-19,Pooja Vastrakar,1087.14197,1483.031982421875
2024-02-19,Pooja Vastrakar,1178.09302,1994.5780029296875
2024-02-19,Pooja Vastrakar,1096.90198,1858.9749755859375
2024-02-19,Pooja Vastrakar,1134.84399,1832.135009765625
2024-02-19,Pooja Vastrakar,1079.08997,1978.9620361328125
2024-02-19,Pooja Vastrakar,1186.87695,1928.697998046875
2024-02-19,Pooja Vastrakar,1135.88098,1917.5960693359375
2024-02-19,Pooja Vastrakar,1033.03503,1627.7239990234375
2024-02-19,Pooja Vastrakar,1092.44897,1479.0670166015625
2024-02-19,Pooja Vastrakar,896.27301,1340.23095703125
2024-02-19,Pooja Vastrakar,1222.98901,1410.0760498046875
2024-02-21,Pooja Vastrakar,1093.12,1393.362060546875
2024-02-21,Pooja Vastrakar,1099.03699,1442.344970703125
2024-02-21,Pooja Vastrakar,1199.01599,1445.39501953125
2024-02-21,Pooja Vastrakar,1090.31396,1394.032958984375
2024-02-21,Pooja Vastrakar,1449.604,1336.8759765625
2024-02-21,Pooja Vastrakar,1196.57605,1438.56298828125
2024-02-21,Pooja Vastrakar,1178.76404,1591.489990234375
2024-02-21,Pooja Vastrakar,1338.03503,1460.7060546875
2024-02-21,Pooja Vastrakar,1204.44507,1372.8050537109375
2024-02-21,Pooja Vastrakar,1128.68298,1095.1939697265625
2024-02-21,Pooja Vastrakar,1357.12805,1192.3670654296875
2024-02-21,Pooja Vastrakar,1318.20996,1310.8289794921875
2024-02-21,Pooja Vastrakar,1173.94507,1438.0750732421875
2024-02-21,Pooja Vastrakar,1717.88208,1186.3890380859375
2024-02-21,Pooja Vastrakar,1066.82898,1217.7430419921875
2024-02-21,Pooja Vastrakar,1214.20496,1118.6180419921875
2024-02-21,Pooja Vastrakar,975.02399,1375.6719970703125
2024-02-21,Pooja Vastrakar,1013.94202,1189.865966796875
2024-02-21,Pooja Vastrakar,1037.06104,1311.011962890625
2024-02-21,Pooja Vastrakar,1309.85303,1149.1180419921875
2024-02-21,Pooja Vastrakar,1282.70801,1365.1190185546875
2024-02-21,Pooja Vastrakar,1375.61096,1224.5140380859375
2024-02-21,Pooja Vastrakar,1128.01196,1239.458984375
2024-02-21,Pooja Vastrakar,1156.86499,1267.885009765625
2024-02-21,Pooja Vastrakar,1251.59802,1139.6629638671875
2024-02-21,Pooja Vastrakar,1101.599,1135.27099609375
2024-02-21,Pooja Vastrakar,1067.01196,1380.613037109375
2024-02-23,Pooja Vastrakar,1074.88098,1530.3070068359375
2024-02-23,Pooja Vastrakar,1072.74597,1997.0789794921875
2024-02-23,Pooja Vastrakar,1134.05103,1739.5369873046875
2024-02-23,Pooja Vastrakar,1269.41003,1998.238037109375
2024-02-23,Pooja Vastrakar,1251.04907,1174.799072265625
2024-02-23,Pooja Vastrakar,1136.73499,1997.9940185546875
2024-02-23,Pooja Vastrakar,1009.79401,1997.384033203125
2024-02-23,Pooja Vastrakar,1152.65601,1929.97900390625
2024-02-23,Pooja Vastrakar,1084.27502,1922.35400390625
2024-02-23,Pooja Vastrakar,1138.87,1786.385009765625
2024-02-23,Pooja Vastrakar,1202.12695,1997.01806640625
2024-02-23,Pooja Vastrakar,1421.97107,1992.0159912109375
2024-02-23,Pooja Vastrakar,917.19598,1978.656982421875
2024-02-25,Pooja Vastrakar,1031.87598,1632.72607421875
2024-02-25,Pooja Vastrakar,1224.453,1997.384033203125
2024-02-25,Pooja Vastrakar,1119.95996,1333.4599609375
2024-02-25,Pooja Vastrakar,1036.39001,1537.9320068359375
2024-02-25,Pooja Vastrakar,1112.823,1997.2010498046875
2024-02-25,Pooja Vastrakar,1130.75696,1758.3250732421875
2024-02-25,Pooja Vastrakar,1066.646,1504.198974609375
2024-02-25,Pooja Vastrakar,1127.89001,1936.5059814453125
2024-02-25,Pooja Vastrakar,950.258,1783.5789794921875
2024-02-25,Pooja Vastrakar,1150.03296,1984.757080078125
2024-02-25,Pooja Vastrakar,1275.20496,1997.2010498046875
2024-02-25,Pooja Vastrakar,1154.72998,1891.427001953125
2024-02-25,Pooja Vastrakar,871.81201,1349.8690185546875
2024-02-25,Pooja Vastrakar,1005.70703,1340.718994140625
2024-02-25,Pooja Vastrakar,845.39899,1416.48095703125
2024-02-25,Pooja Vastrakar,882.60901,1628.5169677734375
2024-02-25,Pooja Vastrakar,1185.22998,1995.31005859375
2024-02-25,Pooja Vastrakar,926.46802,1474.4920654296875
2024-02-25,Pooja Vastrakar,1150.21606,1158.7559814453125
2024-02-25,Pooja Vastrakar,1025.47107,1900.760009765625
2024-02-28,Pooja Vastrakar,1071.58704,1520.1810302734375
2024-02-28,Pooja Vastrakar,1144.96997,1881.1180419921875
2024-02-28,Pooja Vastrakar,1149.36206,1580.8759765625
2024-02-28,Pooja Vastrakar,1229.69897,1985.123046875
2024-02-28,Pooja Vastrakar,1176.62903,1903.2000732421875
2024-02-28,Pooja Vastrakar,1164.36804,1391.0440673828125
2024-02-28,Pooja Vastrakar,1182.91199,1973.4110107421875
2024-02-28,Pooja Vastrakar,1098.48804,1265.6280517578125
2024-02-28,Pooja Vastrakar,1147.41003,1989.1490478515625
2024-02-28,Pooja Vastrakar,1179.25195,1636.7520751953125
2024-02-28,Pooja Vastrakar,1176.07996,1997.81103515625
2024-02-28,Pooja Vastrakar,875.53302,1072.0140380859375
2024-02-28,Pooja Vastrakar,862.479,1107.698974609375
2024-03-01,Pooja Vastrakar,899.44501,1309.487060546875
2024-03-01,Pooja Vastrakar,886.513,1028.3990478515625
2024-03-01,Pooja Vastrakar,938.11902,1167.174072265625
2024-03-01,Pooja Vastrakar,1006.31702,1235.5550537109375
2024-03-01,Pooja Vastrakar,1054.01904,1889.9019775390625
2024-03-01,Pooja Vastrakar,1006.43903,1925.8919677734375
2024-03-01,Pooja Vastrakar,856.07404,1452.654052734375
2024-03-01,Pooja Vastrakar,879.68103,1572.946044921875
2024-03-01,Pooja Vastrakar,1303.448,1985.6109619140625
2024-03-01,Pooja Vastrakar,838.68903,1507.18798828125
2024-03-01,Pooja Vastrakar,863.15002,1348.77099609375
2024-03-01,Pooja Vastrakar,1059.38696,1888.864990234375
2024-03-01,Pooja Vastrakar,786.90002,1719.833984375
2024-03-01,Pooja Vastrakar,1033.70605,1997.6280517578125
2024-03-01,Pooja Vastrakar,911.09601,1721.237060546875
2024-03-01,Pooja Vastrakar,969.83899,1847.2630615234375
2024-03-01,Pooja Vastrakar,1135.39307,1998.4210205078125
2024-03-01,Pooja Vastrakar,871.44598,1726.60498046875
2024-03-01,Pooja Vastrakar,1041.453,1889.5970458984375
2024-03-01,Pooja Vastrakar,1023.03101,1996.591064453125
2024-03-01,Pooja Vastrakar,942.93799,1161.196044921875
2024-03-01,Pooja Vastrakar,952.271,1997.6280517578125
2024-03-01,Pooja Vastrakar,849.18103,1994.0899658203125
2024-03-01,Pooja Vastrakar,1105.50305,1997.01806640625
2024-03-01,Pooja Vastrakar,1068.17102,1966.45703125
2024-03-01,Pooja Vastrakar,864.492,1995.9200439453125
2024-03-01,Pooja Vastrakar,880.16901,1590.27001953125
2024-03-02,Pooja Vastrakar,1077.93103,1706.9630126953125
2024-03-02,Pooja Vastrakar,1094.88904,1796.7550048828125
2024-03-02,Pooja Vastrakar,1075.91797,1645.2919921875
2024-03-02,Pooja Vastrakar,1051.27405,1260.9920654296875
2024-03-02,Pooja Vastrakar,1147.16602,1983.5980224609375
2024-03-02,Pooja Vastrakar,1224.27002,1695.1290283203125
2024-03-02,Pooja Vastrakar,1108.18701,1732.5830078125
2024-03-02,Pooja Vastrakar,1180.16699,1604.7879638671875
2024-03-02,Pooja Vastrakar,1199.99207,1992.5650634765625
2024-03-02,Pooja Vastrakar,1109.58997,1996.3470458984375
2024-03-02,Pooja Vastrakar,1234.03003,1348.1610107421875
2024-03-02,Pooja Vastrakar,1231.95605,1522.4990234375
2024-03-02,Pooja Vastrakar,1140.08997,1468.8189697265625
2024-03-02,Pooja Vastrakar,1193.64807,1108.3089599609375
2024-03-02,Pooja Vastrakar,1233.11499,1562.27099609375
2024-03-02,Pooja Vastrakar,1181.38696,1617.903076171875
2024-03-02,Pooja Vastrakar,1269.776,1929.18603515625
2024-03-02,Pooja Vastrakar,1265.81104,1264.591064453125
